Title,Year,Votes,Rating
A Fish Called Wanda,1988,93541,7.6
A Flintstones Christmas Carol,1994,576,7
A Force of One,1979,1839,4.9
A Foreign Affair,1948,3672,7.5
A Foreign Affair,2003,925,6.1
A Fork in the Road,2009,664,6
A Four Letter Word,2007,618,5.6
A Free Soul,1931,1256,6.7
A Friday Night Date,2000,737,3
A Friend to Die For,1994,1003,6.1
A Funny Thing Happened on the Way to the Forum,1966,5883,7
A Garfield Christmas Special,1987,1455,8
A Gathering of Eagles,1963,516,6.4
A Gentleman's Game,2002,659,6.4
A Ghost in Monte Carlo,1990,502,7.3
A Girl Like Me: The Gwen Araujo Story,2006,1196,7.6
A Girl Thing,2001,585,6.4
A Glimpse Inside the Mind of Charles Swan III,2012,3325,4.9
A Gnome Named Gnorm,1990,666,4.3
A Golden Christmas,2009,503,5.4
A Good Day to Die Hard,2013,127689,5.3
A Good Man in Africa,1994,1779,5
A Good Old Fashioned Orgy,2011,15116,6.2
A Good Woman,2004,8129,6.6
A Good Year,2006,57405,6.9
A Goofy Movie,1995,27311,6.8
A Grand Day Out,1989,17007,7.9
A Grande FamÃlia: O Filme,2007,506,5.6
A Grandpa for Christmas,2007,505,6.8
A Guide for the Married Man,1967,1715,6.8
A Guide to Recognizing Your Saints,2006,19850,7.1
A Gunfight,1971,731,6.4
A Guy Named Joe,1943,1270,7
A Guy Thing,2003,12449,5.6
A Handful of Dust,1988,1284,6.8
A Hard Day's Night,1964,25142,7.7
A Hatful of Rain,1957,649,7.3
A Haunted House,2013,24673,5
A Haunted House 2,2014,2027,4.8
A Haunting at Silver Falls,2013,1393,4.8
A Haunting in Connecticut,2002,714,7
A Haunting in Salem,2011,1007,3.2
A Hazard of Hearts,1987,738,7
A High Wind in Jamaica,1965,1149,6.8
A History of Violence,2005,157308,7.5
A Hole in the Head,1959,1487,6.4
A Home at the End of the World,2004,10895,6.8
A Home of Our Own,1993,1872,7
A Hora da Estrela,1986,565,7.3
A Horrible Way to Die,2010,2037,5.1
A House in the Hills,1993,558,5.7
A Jitney Elopement,1915,561,5.8
A Kid in King Arthur's Court,1995,3773,4.7
A Killer Within,2004,633,4.9
A Kind of Loving,1962,746,7.5
A King in New York,1957,4382,7.3
A Kiss Before Dying,1956,1846,6.8
A Kiss Before Dying,1991,3391,5.6
A Knight in Camelot,1998,1465,4.7
A Knight's Tale,2001,111629,6.9
A Lady Takes a Chance,1943,615,6.6
A Late Quartet,2012,7316,7.1
A Lawless Street,1955,575,6.4
A League of Their Own,1992,58444,7.1
A Lesson Before Dying,1999,787,6.9
A Letter to Three Wives,1949,4964,7.8
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,2012,852,5.8
A Life Less Ordinary,1997,27138,6.4
A Little Bit Zombie,2012,1701,5.3
A Little Bit of Heaven,2011,17101,6.3
A Little Help,2010,2185,5.7
A Little Princess,1995,20081,7.7
A Little Romance,1979,3333,7.5
A Little Trip to Heaven,2005,3584,6.1
A Lonely Place to Die,2011,17580,6.3
A Long Way Down,2014,1717,6.4
A Lot Like Love,2005,49331,6.6
A Love Song for Bobby Long,2004,19687,7.2
A Low Down Dirty Shame,1994,3125,5.7
A L»gy,1981,872,7.7
A Madea Christmas,2011,556,3.8
A Madea Christmas,2013,2649,4
A Majority of One,1961,607,6.8
A Man Apart,2003,32986,6.1
A Man Called Horse,1970,5532,6.9
A Man Called Peter,1955,642,7.2
A Man for All Seasons,1966,19440,8
A Man of No Importance,1994,693,6.8
A Map of the World,1999,3134,6.6
A Marine Story,2010,1245,6
A Matter of Life and Death,1946,11043,8.1
A Matter of Loaf and Death,2008,6727,7.6
A Matter of Size,2009,648,7.1
A Midnight Clear,1992,6365,7.3
A Midsummer Night's Dream,1935,1906,7.1
A Midsummer Night's Dream,1999,19201,6.5
A Midsummer Night's Sex Comedy,1982,11945,6.8
A Mighty Heart,2007,21842,6.7
A Mighty Wind,2003,20297,7.3
A Million to Juan,1994,580,5.3
A Mom for Christmas,1990,550,6.9
A Month by the Lake,1995,1582,6.4
A Month in the Country,1987,798,7.2
A Mother's Nightmare,2012,667,6.1
A Movie,1958,746,7.1
A Mulher InvisÃvel,2009,1674,6.5
A Muppet Family Christmas,1987,1826,8.3
A Muppets Christmas: Letters to Santa,2008,918,6.7
A Murder of Crows,1998,5580,6.4
A Nanny for Christmas,2010,863,5.2
A New Kind of Love,1963,702,6
A New Leaf,1971,2193,7.5
A Night Out,1915,798,6
A Night at the Opera,1935,21233,8.1
A Night at the Roxbury,1998,41862,6.2
A Night in Casablanca,1946,3968,7.1
A Night in Heaven,1983,692,4.3
A Night in the Life of Jimmy Reardon,1988,1703,5.5
A Night in the Show,1915,791,6.5
A Night in the Woods,2011,505,3.8
A Night to Remember,1942,581,6.7
A Night to Remember,1958,9174,7.9
A Nightmare on Elm Street,1984,111754,7.5
A Nightmare on Elm Street,2010,60000,5.2
A Nightmare on Elm Street 3: Dream Warriors,1987,36802,6.5
A Nightmare on Elm Street 4: The Dream Master,1988,27480,5.6
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,32032,5.3
A Nightmare on Elm Street: The Dream Child,1989,22574,5
A Nymphoid Barbarian in Dinosaur Hell,1990,1063,2.2
A Painted House,2003,707,6.6
A Partilha,2001,584,7
A Passage to India,1984,10687,7.4
